patent_number,sim_paper,contri_paper
AU2002367020B2,"[""{0: [], 1: [], 2: [], 3: [], 4: [], 5: [], 6: [], 7: [], 8: [], 9: [], 10: [], 11: [], 12: [], 13: [], 14: [], 15: [], 16: [], 17: [], 18: [('3', 0.8256072998046875), ('0', 0.7998107671737671), ('4', 0.8457316160202026), ('2', 0.8147712349891663), ('3', 0.80543452501297)], 19: [], 20: [('3', 0.78962641954422), ('0', 0.8227562308311462), ('4', 0.7801319360733032), ('2', 0.793756365776062), ('2', 0.7792310118675232), ('3', 0.7801235914230347), ('3', 0.8047893047332764)]}""
 ""{0: [], 1: [], 2: [], 3: [], 4: [], 5: [], 6: [], 7: [], 8: [], 9: [], 10: [], 11: [], 12: [], 13: [], 14: [], 15: [], 16: [], 17: [], 18: [('2', 0.8288026452064514), ('0', 0.8291204571723938), ('0', 0.8030498623847961)], 19: [], 20: [('2', 0.8030717968940735), ('0', 0.8003379106521606), ('0', 0.8008691668510437)]}""
 ""{0: [], 1: [], 2: [], 3: [], 4: [], 5: [], 6: [], 7: [], 8: [], 9: [], 10: [], 11: [], 12: [], 13: [], 14: [], 15: [], 16: [], 17: [], 18: [('2', 0.8495234847068787), ('0', 0.8066213726997375), ('0', 0.8193880319595337), ('0', 0.776818037033081)], 19: [], 20: [('2', 0.8086788058280945), ('0', 0.7987390756607056), ('0', 0.8047255277633667), ('0', 0.7951647639274597)]}""]","{'0': 9.657401204109192, '1': 0, '2': 5.6778353452682495, '3': 4.0055811405181885, '4': 1.6258635520935059}"
AU2003210108B2,"[""{0: [('2', 0.7868427634239197), ('2', 0.8218004107475281), ('2', 0.7810775637626648), ('0', 0.8266186714172363)], 1: [], 2: [], 3: [('2', 0.8381264805793762), ('2', 0.8503791093826294), ('0', 0.8045032024383545), ('2', 0.8910214304924011), ('0', 0.8469107747077942)], 4: [('2', 0.8565636873245239), ('2', 0.8654794096946716), ('0', 0.7741252779960632), ('2', 0.8372241258621216), ('0', 0.7906702756881714)], 5: [('2', 0.7946980595588684), ('2', 0.8186177611351013), ('0', 0.8045705556869507), ('2', 0.8516247868537903)]}""]","{'0': 4.84739875793457, '1': 0, '2': 9.993455588817596, '3': 0, '4': 0}"
AU2006335683B2,"[""{0: [('3', 0.8626189827919006), ('0', 0.8534094095230103), ('3', 0.8127776384353638)], 1: [('3', 0.8309230208396912), ('3', 0.7931060194969177)], 2: [], 3: [], 4: [], 5: [('3', 0.7870759963989258), ('3', 0.8288653492927551)], 6: [('3', 0.7904292345046997), ('3', 0.828497588634491)], 7: [], 8: [('3', 0.8025673627853394), ('3', 0.8254865407943726)], 9: [('3', 0.8280525207519531), ('3', 0.8280016183853149)]}""
 ""{0: [('3', 0.9107822179794312)], 1: [('3', 0.7991490960121155)], 2: [], 3: [], 4: [], 5: [], 6: [], 7: [], 8: [], 9: [('3', 0.8342198133468628)]}""
 ""{0: [('2', 0.8824172019958496), ('3', 0.828992486000061), ('3', 0.7970126271247864), ('3', 0.7884554266929626), ('3', 0.8118035793304443)], 1: [('3', 0.8155171871185303), ('3', 0.8232163786888123)], 2: [], 3: [], 4: [], 5: [('3', 0.7810165286064148)], 6: [('3', 0.7787027359008789)], 7: [], 8: [('3', 0.8512484431266785), ('3', 0.8198223114013672), ('3', 0.7931984066963196)], 9: [('3', 0.8109487891197205), ('3', 0.8561605215072632), ('3', 0.7904348373413086), ('3', 0.8035725951194763)]}""
 ""{0: [('3', 0.8292953968048096), ('3', 0.8988742828369141), ('0', 0.8108583092689514), ('0', 0.8087446689605713), ('0', 0.8936850428581238)], 1: [('3', 0.8143966794013977), ('3', 0.8706838488578796)], 2: [], 3: [], 4: [], 5: [('3', 0.7796691060066223)], 6: [('3', 0.7826500535011292)], 7: [], 8: [('3', 0.8204575777053833), ('3', 0.8088048696517944)], 9: [('3', 0.8105306029319763), ('3', 0.8412855267524719)]}""]","{'0': 3.3666974306106567, '1': 0, '2': 0.8824172019958496, '3': 32.76930379867554, '4': 0}"
AU2007342249B2,"[""{0: [('2', 0.8497093319892883), ('3', 0.8300228714942932), ('3', 0.7861321568489075), ('3', 0.8038185238838196)], 1: [('2', 0.891200602054596), ('3', 0.8853262662887573), ('3', 0.7972108125686646), ('3', 0.8419784307479858), ('3', 0.8614883422851562), ('2', 0.7855092287063599)], 2: [('2', 0.836113452911377), ('3', 0.8259332180023193), ('3', 0.8068641424179077), ('3', 0.8151999711990356), ('2', 0.7837650775909424)]}""]","{'0': 0, '1': 0, '2': 4.1462976932525635, '3': 8.253974735736847, '4': 0}"
AU2010266329B2,"[""{0: [('2', 0.8397341966629028), ('3', 0.7961373925209045), ('2', 0.8344325423240662), ('0', 0.7895585298538208)], 1: [('2', 0.8676639795303345), ('3', 0.8583543300628662), ('2', 0.8314110040664673), ('0', 0.8333243727684021)], 2: [('2', 0.8224796652793884), ('3', 0.8222856521606445), ('2', 0.8402292728424072), ('0', 0.7820313572883606)], 3: [('2', 0.7858235836029053)]}""]","{'0': 2.4049142599105835, '1': 0, '2': 5.821774244308472, '3': 2.4767773747444153, '4': 0}"
AU2010313807B2,"[""{0: [('2', 0.8788139224052429), ('0', 0.7786893844604492), ('0', 0.811913788318634)]}""
 ""{0: [('2', 0.897681713104248), ('3', 0.8520117998123169), ('3', 0.8107489943504333), ('3', 0.8079953789710999), ('2', 0.788986086845398), ('0', 0.8687015175819397), ('0', 0.8319170475006104), ('0', 0.8141558170318604), ('0', 0.7887157797813416), ('0', 0.827286422252655), ('0', 0.7976382970809937), ('0', 0.7871990203857422)]}""]","{'0': 7.306217074394226, '1': 0, '2': 2.565481722354889, '3': 2.47075617313385, '4': 0}"
AU2011206388B2,"[""{0: [('2', 0.8410573601722717), ('0', 0.8089472651481628), ('0', 0.7960500121116638)], 1: [('2', 0.8688724637031555), ('0', 0.7923017144203186), ('0', 0.8194901347160339)], 2: [('2', 0.8906229734420776), ('0', 0.8046061396598816), ('0', 0.8206244707107544)], 3: []}""
 ""{0: [('3', 0.8010293841362), ('0', 0.8122073411941528), ('0', 0.8229818344116211), ('3', 0.8137567043304443), ('2', 0.8043686151504517)], 1: [('3', 0.8683680891990662), ('0', 0.8316442370414734), ('0', 0.8522248864173889), ('3', 0.8309600949287415), ('2', 0.8215101957321167)], 2: [('3', 0.8832659125328064), ('0', 0.8288713097572327), ('0', 0.8467941284179688), ('3', 0.8421905040740967), ('2', 0.8522168397903442)], 3: []}""
 ""{0: [('2', 0.8537684082984924), ('0', 0.813946545124054)], 1: [('2', 0.7886698842048645), ('2', 0.8553189039230347), ('0', 0.8659723997116089)], 2: [('2', 0.8027645349502563), ('2', 0.8798050880432129), ('0', 0.858422040939331)], 3: []}""]","{'0': 12.375084459781647, '1': 0, '2': 9.258975267410278, '3': 5.039570689201355, '4': 0}"
AU2012241120B2,"[""{0: [('2', 0.79462069272995), ('3', 0.7726764678955078), ('3', 0.7949268221855164), ('3', 0.7806763648986816)], 1: [('2', 0.8724866509437561), ('3', 0.8568942546844482), ('3', 0.7771058678627014), ('3', 0.7927582859992981), ('3', 0.7833647131919861)]}""]","{'0': 0, '1': 0, '2': 1.667107343673706, '3': 5.55840277671814, '4': 0}"
AU2015272082B2,"[""{0: [('1', 0.7832443118095398), ('0', 0.7990831732749939)], 1: [('1', 0.8656592965126038), ('2', 0.8587897419929504), ('1', 0.7795543670654297), ('0', 0.794077455997467), ('0', 0.8091196417808533)], 2: [], 3: [('1', 0.7854657769203186), ('2', 0.8085672855377197), ('0', 0.795632004737854)], 4: [('1', 0.7737289667129517), ('2', 0.8178713321685791), ('1', 0.7860778570175171), ('0', 0.8245121836662292), ('0', 0.7988922595977783)], 5: []}""]","{'0': 4.821316719055176, '1': 4.773730576038361, '2': 2.4852283596992493, '3': 0, '4': 0}"
AU2016242001B2,"[""{0: [('2', 0.805435299873352)], 1: [('2', 0.7847239971160889), ('2', 0.8265170454978943)], 2: []}""]","{'0': 0, '1': 0, '2': 2.416676342487335, '3': 0, '4': 0}"
